# BEAST v1.10.2
# Generated Sun Dec 02 20:30:11 SAST 2018 [seed=1543775410815]
# -beagle outbreak_25_expo_cauchy10_prior_clock_cp123.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	CP1.nu	CP2.nu	CP3.nu	CP1.mu	CP2.mu	CP3.mu	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
2147000	-4817.051090696616	-20.67851557164221	-4796.372575124973	0.5470820994559169	2018.3679863936948	4.244016040875081	2.9422404593609452	5.191392903258068	12.864677498724141	0.31510581701924134	0.22276861712508608	0.2507095455800111	0.2114160202756625	0.5727917669223092	0.06150854491285942	0.2690728499557996	0.6694186051313352	0.1844653913057547	0.8069550113267957	2.0095684008942634	0.005278303984410396	0.005278303984410394	-4796.372575124973	0.0	-16.226112682163468
2148000	-4813.515994940674	-18.696106825287355	-4794.819888115387	0.45700403707788595	2018.4580644560729	3.726518018389253	3.2900155687127044	6.358263229245211	9.062079554278757	0.31176259656666533	0.2218681094576307	0.2507095455800111	0.21565974839569393	0.8483133383991578	0.10891931987208238	0.28492952158562695	0.6061511585422849	0.3266512805566271	0.8545094956857883	1.8196420073102708	0.005774597674276205	0.005774597674276205	-4794.819888115387	0.0	-14.030668044100628
2149000	-4822.253832500279	-17.300489289683014	-4804.953343210595	0.576296945029108	2018.3387715481217	4.029664401317493	2.9586287264683473	6.010058840444204	6.732632925426513	0.30390825087950984	0.22645703762069683	0.24981631732125317	0.21981839417854118	0.3363832220899211	0.07989735311067686	0.16854865533370836	0.7515539915556089	0.239613805313313	0.5054808840664202	2.2561356099443866	0.004163839857514272	0.004163839857514272	-4804.953343210595	0.0	-14.501443246570574
2150000	-4814.853106539075	-16.436097235510747	-4798.417009303565	0.4557768370627341	2018.459291656088	3.6303838358027853	0.878378742592515	1.2478256387167304	8.977131251704803	0.31211276917400477	0.22645703762069683	0.24161179902675822	0.21981839417854118	0.46994701222502727	0.02375519347755917	0.25533439637127625	0.7209104101511588	0.0712423138376946	0.7657531064533281	2.164144780277302	0.005516826266303389	0.005516826266303391	-4798.417009303565	0.0	-14.199935044852491
2151000	-4811.79966833197	-15.264244068451687	-4796.5354242635185	0.45304181320029335	2018.4620266799504	3.5182650215330944	2.184041458958812	5.561602347170013	15.2630218068746	0.3049928722983084	0.22645703762069683	0.24873169590245467	0.21981839417854118	0.3904666075246764	0.01968937461490619	0.21330602669242632	0.7670045986926618	0.059048839442549225	0.6397091613439857	2.302517726663657	0.006720269444788664	0.006720269444788664	-4796.5354242635185	0.0	-10.877464806790178
2152000	-4832.14037198727	-28.4201945882441	-4803.7201773990255	0.7090592212008394	2018.20600927195	5.402575215432682	4.3046181219917665	6.99815785200615	16.1886846121701	0.325549260120431	0.21997301594209603	0.23686042502828236	0.21761729890919168	0.3366223084782333	0.0509446478447021	0.28907857074053234	0.6599767814147599	0.15278404671937107	0.866952579439285	1.9812244163647008	0.004089049349761977	0.004089049349761979	-4803.7201773990255	0.0	-23.672898892072066
2153000	-4821.501926028091	-22.013342642324535	-4799.488583385766	0.4933615644208431	2018.42170692873	4.01442159470877	3.4697601767527178	7.493908531359814	16.1886846121701	0.33528396186163756	0.20368612637482428	0.24911016977025507	0.21191974199328417	1.5667149097489559	0.08697918811798125	0.2230649905574391	0.689955821324574	0.2608523741599007	0.6689764946982161	2.071220318525339	0.00614969242445512	0.006149692424455119	-4799.488583385766	0.0	-14.619233277151732
2154000	-4819.524359271385	-16.9390661295013	-4802.585293141884	0.444851855481669	2018.4702166376692	3.5321134296026333	2.305469494735038	5.28432750772632	5.918237764052649	0.32807179224464295	0.21231665163739788	0.24769181412467609	0.21191974199328417	1.4083042778316506	0.04176975567501932	0.3031176699297227	0.6551125743952523	0.12526835639266323	0.9090561266648493	1.9666222576453554	0.006567815211467952	0.0065678152114679545	-4802.585293141884	0.0	-12.205986045981467
2155000	-4813.004904217085	-17.346123868040976	-4795.658780349044	0.4098633122380558	2018.5052051809128	3.5365924170634937	1.2160312046990107	4.384929746606375	11.455498902325184	0.3031454172108691	0.21933910459937067	0.2519676290278129	0.22554784916194845	0.6361734506190762	0.01361274735214204	0.31853176494419794	0.667855487703654	0.040824909297021476	0.9552833146514537	2.004875983675087	0.007443484678441665	0.0074434846784416624	-4795.658780349044	0.0	-13.673465085892602
2156000	-4817.389867233696	-24.883403187530156	-4792.506464046166	0.6175254743327744	2018.297543018818	4.944630668908989	4.6695005248393135	6.671130880110164	10.48906550205947	0.30376939831174865	0.22919358895707642	0.25140920665728417	0.2156278060738919	0.48059039427545414	0.05786747191092889	0.25578398246994494	0.6863485456191202	0.17354573848311877	0.767101424410354	2.060391418319359	0.004545581362380474	0.0045455813623804745	-4792.506464046166	0.0	-20.56897856678752
